Date,Positive Total,Positive New,Probable Total,Probable New
1/29/2020,1,1,0,0
1/30/2020,1,0,0,0
1/31/2020,1,0,0,0
2/1/2020,1,0,0,0
2/2/2020,1,0,0,0
2/3/2020,1,0,0,0
2/4/2020,1,0,0,0
2/5/2020,1,0,0,0
2/6/2020,2,1,0,0
2/7/2020,2,0,0,0
2/8/2020,2,0,0,0
2/9/2020,2,0,0,0
2/10/2020,2,0,0,0
2/11/2020,2,0,0,0
2/12/2020,2,0,0,0
2/13/2020,2,0,0,0
2/14/2020,2,0,0,0
2/15/2020,2,0,0,0
2/16/2020,2,0,0,0
2/17/2020,2,0,0,0
2/18/2020,2,0,0,0
2/19/2020,2,0,0,0
2/20/2020,2,0,0,0
2/21/2020,2,0,0,0
2/22/2020,2,0,0,0
2/23/2020,2,0,0,0
2/24/2020,2,0,0,0
2/25/2020,2,0,0,0
2/26/2020,2,0,0,0
2/27/2020,2,0,0,0
2/28/2020,2,0,0,0
2/29/2020,2,0,0,0
3/1/2020,3,1,3,3
3/2/2020,3,0,5,2
3/3/2020,4,1,8,3
3/4/2020,6,2,9,1
3/5/2020,14,8,12,3
3/6/2020,28,14,12,0
3/7/2020,72,44,15,3
3/8/2020,91,19,20,5
3/9/2020,96,5,24,4
3/10/2020,110,14,30,6
3/11/2020,132,22,35,5
3/12/2020,161,29,38,3
3/13/2020,222,61,43,5
3/14/2020,295,73,48,5
3/15/2020,363,68,54,6
3/16/2020,513,150,57,3
3/17/2020,762,249,65,8
3/18/2020,1021,259,72,7
3/19/2020,1299,278,78,6
3/20/2020,1687,388,88,10
3/21/2020,2008,321,98,10
3/22/2020,2294,286,102,4
3/23/2020,2903,609,113,11
3/24/2020,3622,719,123,10
3/25/2020,4368,746,134,11
3/26/2020,5304,936,138,4
3/27/2020,6247,943,144,6
3/28/2020,6902,655,152,8
3/29/2020,7426,524,157,5
3/30/2020,8664,1238,159,2
3/31/2020,9929,1265,164,5
4/1/2020,11267,1338,170,6
4/2/2020,12546,1279,176,6
4/3/2020,14027,1481,183,7
4/4/2020,15190,1163,189,6
4/5/2020,16166,976,196,7
4/6/2020,18098,1932,202,6
4/7/2020,20122,2024,211,9
4/8/2020,21989,1867,219,8
4/9/2020,23971,1982,228,9
4/10/2020,26026,2055,236,8
4/11/2020,27323,1297,243,7
4/12/2020,28253,930,257,14
4/13/2020,30257,2004,264,7
4/14/2020,33132,2875,270,6
4/15/2020,35733,2601,285,15
4/16/2020,38122,2389,292,7
4/17/2020,41132,3010,311,19
4/18/2020,42615,1483,317,6
4/19/2020,43706,1091,320,3
4/20/2020,46405,2699,333,13
4/21/2020,48604,2199,355,22
4/22/2020,51322,2718,385,30
4/23/2020,53739,2417,412,27
4/24/2020,56021,2282,476,64
4/25/2020,57519,1498,499,23
4/26/2020,58367,848,530,31
4/27/2020,60494,2127,599,69
4/28/2020,62602,2108,662,63
4/29/2020,64788,2186,746,84
4/30/2020,66837,2049,845,99
5/1/2020,68921,2084,940,95
5/2/2020,69958,1037,1001,61
5/3/2020,70693,735,1036,35
5/4/2020,72581,1888,1170,134
5/5/2020,74323,1742,1297,127
5/6/2020,76034,1711,1439,142
5/7/2020,77726,1692,1560,121
5/8/2020,79188,1462,1654,94
5/9/2020,79872,684,1687,33
5/10/2020,80258,386,1748,61
5/11/2020,81575,1317,1858,110
5/12/2020,83033,1458,1975,117
5/13/2020,84361,1328,2106,131
5/14/2020,85684,1323,2234,128
5/15/2020,86796,1112,2330,96
5/16/2020,87450,654,2368,38
5/17/2020,87821,371,2414,46
5/18/2020,89145,1324,2514,100
5/19/2020,90235,1090,2636,122
5/20/2020,91265,1030,2740,104
5/21/2020,92257,992,2878,138
5/22/2020,93132,875,2986,108
5/23/2020,93525,393,3023,37
5/24/2020,93829,304,3063,40
5/25/2020,94029,200,3121,58
5/26/2020,94915,886,3220,99
5/27/2020,95627,712,3330,110
5/28/2020,96281,654,3449,119
5/29/2020,96815,534,3541,92
5/30/2020,97090,275,3576,35
5/31/2020,97254,164,3610,34
6/1/2020,97770,516,3675,65
6/2/2020,98221,451,3726,51
6/3/2020,98695,474,3802,76
6/4/2020,99090,395,3854,52
6/5/2020,99433,343,3950,96
6/6/2020,99582,149,3980,30
6/7/2020,99733,151,4000,20
6/8/2020,100096,363,4072,72
6/9/2020,100446,350,4151,79
6/10/2020,100701,255,4249,98
6/11/2020,100931,230,4329,80
6/12/2020,101185,254,4377,48
6/13/2020,101283,98,4395,18
6/14/2020,101361,78,4419,24
6/15/2020,101606,245,4486,67
6/16/2020,101810,204,4544,58
6/17/2020,102063,253,4625,81
6/18/2020,102295,232,4687,62
6/19/2020,102450,155,4738,51
6/20/2020,102522,72,4753,15
6/21/2020,102581,59,4771,18
6/22/2020,102699,118,4822,51
6/23/2020,102761,62,4846,24
6/24/2020,102762,1,4849,3
